Employee_Name,EmpID,Position,State,Zip,Sex,MaritalDesc,CitizenDesc,EmploymentStatus,Department,Salaries,age,Race
"Brown, Mia",1103024456,Accountant I,MA,1450,F,Married,US Citizen,Active,Admin Offices,674.28,28,Black or African American
"LaRotonda, William  ",1106026572,Accountant I,MA,1460,M ,Divorced,US Citizen,Active,Admin Offices,674.28,50,Black or African American
"Steans, Tyrone  ",1302053333,Accountant I,MA,2703,M ,Single,US Citizen,Active,Admin Offices,674.28,43,White
"Howard, Estelle",1211050782,Administrative Assistant,MA,2170,F,Married,US Citizen,Terminated for Cause,Admin Offices,47822,44,White
"Singh, Nan ",1307059817,Administrative Assistant,MA,2330,F,Single,US Citizen,Active,Admin Offices,61089.35,33,White
"Smith, Leigh Ann",711007713,Administrative Assistant,MA,1844,F,Married,US Citizen,Voluntarily Terminated,Admin Offices,32406.02,40,Asian
"Bunbury, Jessica",1504073368,Area Sales Manager,VA,21851,F,Married,Eligible NonCitizen,Voluntarily Terminated,Sales,62051.64,26,Black or African American
"Carter, Michelle ",1403065721,Area Sales Manager,VT,5664,F,Single,US Citizen,Active,Sales,55912.5,25,White
"Dietrich, Jenna  ",1408069481,Area Sales Manager,WA,98052,F,Single,US Citizen,Active,Sales,15684.19,35,White
"Digitale, Alfred",1306059197,Area Sales Manager,NH,3062,M ,Married,US Citizen,Active,Sales,33773.7,45,American Indian or Alaska Native
"Friedman, Gerry",1204032843,Area Sales Manager,NY,10171,M ,Single,US Citizen,Active,Sales,58804,31,Two or more races
"Gill, Whitney  ",1302053046,Area Sales Manager,OH,43050,F,Widowed,US Citizen,Terminated for Cause,Sales,28827.21,43,Black or African American
"Gonzales, Ricardo",1411071481,Area Sales Manager,ID,83706,M ,Married,US Citizen,Active,Sales,12907.33,28,White
"Guilianno, Mike",1001167253,Area Sales Manager,TN,37129,M ,Single,US Citizen,Voluntarily Terminated,Sales,31404.1,48,Two or more races
"Leruth, Giovanni",1412071660,Area Sales Manager,UT,84111,M ,Separated,US Citizen,Active,Sales,43796,52,Black or African American
"Mullaney, Howard",1306057978,Area Sales Manager,AL,36006,M ,Single,US Citizen,Active,Sales,13645.8,50,Two or more races
"Ozark, Travis",812011761,Area Sales Manager,NC,27229,M ,Single,US Citizen,Active,Sales,61795,34,White
"Strong, Caitrin",1411071295,Area Sales Manager,MT,59102,F,Married,US Citizen,Active,Sales,52748.2,24,Black or African American
"Valentin,Jackie",1312063714,Area Sales Manager,AZ,85006,F,Married,US Citizen,Active,Sales,29479,54,Two or more races
"Villanueva, Noah",1111030503,Area Sales Manager,ME,4063,M ,Single,US Citizen,Active,Sales,25521.82,25,Asian
"Buck, Edward",1504073313,Area Sales Manager,MA,2330,M ,Married,US Citizen,Active,Sales,35971.73,25,White
"Costa, Latia",1409070567,Area Sales Manager,CA,90007,F,Single,US Citizen,Active,Sales,49808,50,White
"Fraval, Maruk ",1411071302,Area Sales Manager,CT,6050,M ,Single,US Citizen,Active,Sales,55990.4,34,Black or African American
"Givens, Myriam",1203032099,Area Sales Manager,IN,46204,F,Single,US Citizen,Active,Sales,96708.02,37,White
Jeremy Prater,1001084890,Area Sales Manager,NV,89139,M ,Married,US Citizen,Active,Sales,37221.67,31,White
"Khemmich, Bartholemew",1104025008,Area Sales Manager,CO,80820,M ,Single,US Citizen,Active,Sales,23776.82,53,White
"Martins, Joseph",1209048771,Area Sales Manager,TX,78207,M ,Single,Eligible NonCitizen,Active,Sales,30817,45,Black or African American
"McKinzie, Jac",1209049326,Area Sales Manager,TX,78789,M ,Married,US Citizen,Future Start,Sales,77246.36,30,Two or more races
"Nguyen, Dheepa",1111030684,Area Sales Manager,GA,30428,F,Single,US Citizen,Active,Sales,30137.04,33,Two or more races
"Onque, Jasmine",1501072180,Area Sales Manager,FL,33174,F,Single,US Citizen,Active,Sales,53196.72,38,White
"Potts, Xana",1102024106,Area Sales Manager,KY,40220,F,Married,US Citizen,Active,Sales,28919,54,Black or African American
"Riordan, Michael",1502072711,Area Sales Manager,ND,58782,M ,Separated,US Citizen,Active,Sales,60434.67,48,White
"Terry, Sharlene ",1401064637,Area Sales Manager,OR,97756,F,Single,US Citizen,Active,Sales,36485.25,49,Black or African American
"Rachael, Maggie",1009919940,BI Developer,MA,2110,F,Married,US Citizen,Active,IT/IS,48086.32,47,Black or African American
"Smith, Jason",1009919980,BI Developer,MA,2045,M ,Single,US Citizen,Active,IT/IS,33231.01,44,White
"Westinghouse, Matthew",1009919990,BI Developer,MA,2134,M ,Married,US Citizen,Active,IT/IS,27832.19,26,White
"Hubert, Robert",1009920000,BI Developer,MA,2134,M ,Married,US Citizen,Active,IT/IS,31032,50,Black or African American
"Champaigne, Brian",1009919920,BI Director,MA,2045,M ,Married,US Citizen,Active,IT/IS,4160,23,White
"Zamora, Jennifer",1112030816,CIO,MA,2067,F,Single,US Citizen,Active,IT/IS,26418.01,46,White
"Roper, Katie",1009919950,Data Architect,MA,2056,F,Single,US Citizen,Active,IT/IS,90016.01,29,Black or African American
"Becker, Renee",1102024056,Database Administrator,MA,2026,F,Single,US Citizen,Terminated for Cause,IT/IS,33102.77,24,White
"Goble, Taisha",905013738,Database Administrator,MA,2127,F,Single,US Citizen,Terminated for Cause,IT/IS,33464.25,46,White
"Hernandez, Daniff",1410071156,Database Administrator,MA,1960,M ,Married,US Citizen,Terminated for Cause,IT/IS,15537.79,50,Black or African American
"Horton, Jayne",1105025718,Database Administrator,MA,2493,F,Single,US Citizen,Active,IT/IS,29188.15,27,White
"Johnson, Noelle ",1003018246,Database Administrator,MA,2301,F,Married,US Citizen,Leave of Absence,IT/IS,57777.02,29,Asian
"Murray, Thomas",1406068403,Data Analyst,TX,78230,M ,Divorced,US Citizen,Active,IT/IS,48017.21,26,Black or African American
"Pearson, Randall",1102023965,Data Analyst,MA,2747,M ,Married,US Citizen,Voluntarily Terminated,IT/IS,40083.52,27,White
"Petrowsky, Thelma",1108027853,Data Analyst,MA,1886,F,Married,US Citizen,Active,IT/IS,58672,46,Asian
"Roby, Lori ",1407068885,Data Analyst,MA,1886,F,Married,US Citizen,Active,IT/IS,22721,23,White
"Rogers, Ivan",1203032255,Data Analyst,MA,1810,M ,Married,US Citizen,Active,IT/IS,19161.7,23,White
"Salter, Jason",1111030148,Data Analyst ,MA,2452,M ,Divorced,US Citizen,Voluntarily Terminated,IT/IS,42304.75,37,Black or African American
"Simard, Kramer",808010278,Data Analyst,MA,2110,M ,Married,US Citizen,Active,IT/IS,418.18,42,White
"Zhou, Julia",1110029732,Data Analyst,MA,2148,F,Single,US Citizen,Active,IT/IS,75337.01,41,White
"Bramante, Elisa",1006020066,Director of Operations,MA,2030,F,Single,US Citizen,Active,Production       ,21422.76,51,Black or African American
"Houlihan, Debra",1009021646,Director of Sales,RI,2908,F,Married,US Citizen,Active,Sales,27595.7,32,White
"Foss, Jason",1192991000,IT Director,MA,1460,M ,Single,US Citizen,Active,IT/IS,36741,50,Black or African American
"Roup,Simon",1106026933,IT Manager - DB,MA,2481,M ,Single,US Citizen,Active,IT/IS,44772.47,40,White
"Ruiz, Ricardo",1001175250,IT Manager - DB,MA,1915,M ,Divorced,US Citizen,Voluntarily Terminated,IT/IS,54810.01,50,Two or more races
